row_id,client/ip,datetime,method,request,status_code,size_in_KB,user_agent,referer_present(Y/N)
0,54.36.149.41,2019-01-22T03:56:14.000Z,GET,/filter/271320D985DAAFD8A7D9BEDB8CDAA9D8B3D98427DAA9D985D8AAD8B120D8A7D8B220520D985DAAFD8A7D9BEDB8CDAA9D8B3D984p53,200,29.86,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1,31.56.96.51,2019-01-22T03:56:16.000Z,GET,/image/60844/productModel/200x200,200,5.53,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
2,31.56.96.51,2019-01-22T03:56:16.000Z,GET,/image/61474/productModel/200x200,200,5.25,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
3,40.77.167.129,2019-01-22T03:56:17.000Z,GET,/image/14925/productModel/100x100,200,1.66,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
4,91.99.72.15,2019-01-22T03:56:17.000Z,GET,/product/31893/62100/D8B3D8B4D988D8A7D8B1D8AED8A7D986DAAFDB8CD9BED8B1D986D8B3D984DB8CD985D8AFD984PR257AT,200,40.51,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,N
5,40.77.167.129,2019-01-22T03:56:17.000Z,GET,/image/23488/productModel/150x150,200,2.59,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
6,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/45437/productModel/150x150,200,3.6,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
7,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/576/article/100x100,200,14.43,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
8,66.249.66.194,2019-01-22T03:56:18.000Z,GET,/filter/b41b665c1507CD8A8D8AED8A7D8B1D9BED8B2p56,200,33.47,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
9,40.77.167.129,2019-01-22T03:56:18.000Z,GET,/image/57710/productModel/100x100,200,1.66,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
10,207.46.13.136,2019-01-22T03:56:18.000Z,GET,/product/10214,200,38.75,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
11,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/578/article/100x100,200,9.6,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
12,178.253.33.51,2019-01-22T03:56:19.000Z,GET,/m/product/32574/62991/D985D8A7D8B4DB8CD986D8A7D8B5D984D8A7D8ADD8B5D988D8B1D8AAD9BED8B1D986D8B3D984DB8CD985D8AFD984PR465AT,200,19.93,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
13,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6229/productModel/100x100,200,1.75,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
14,91.99.72.15,2019-01-22T03:56:19.000Z,GET,/product/10075/13903/D985D8A7DB8CDAA9D8B1D988D981D8B1D8B1D988D985DB8CD8B2DB8CD8B3D8A7D985D8B3D988D986DAAFD985D8AFD984CE288,200,40.75,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
15,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6229/productModel/150x150,200,2.67,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
16,207.46.13.136,2019-01-22T03:56:19.000Z,GET,/product/14926,404,32.83,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
17,40.77.167.129,2019-01-22T03:56:19.000Z,GET,/image/6248/productModel/150x150,200,2.72,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
18,40.77.167.129,2019-01-22T03:56:20.000Z,GET,/image/64815/productModel/150x150,200,3.4,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
19,66.249.66.194,2019-01-22T03:56:20.000Z,GET,/m/filter/b2p6,200,19.0,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
20,91.99.72.15,2019-01-22T03:56:20.000Z,GET,/product/32798/63266/DB8CD8AEDA86D8A7D984D981D8B1DB8CD8B2D8B1D8B3DB8CD986D8ACD8B1D985D8AFD984pearlSR7,200,39.31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
21,178.253.33.51,2019-01-22T03:56:20.000Z,GET,/settings/logo,200,4.02,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
22,66.249.66.91,2019-01-22T03:56:20.000Z,GET,/filter/b8742Cb322Cb632Cb992Cb1262Cb8202Cb2492Cb32Cb1482Cb7242Cb6132Cb1832Cb2132Cb4842Cb2242Cb7342Cb202Cb952Cb5422Cb2122Cb4852Cb5232Cb2212Cb1182Cb1862Cb67page4,200,38.73,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
23,31.56.96.51,2019-01-22T03:56:20.000Z,GET,/image/60819/productModel/200x200,200,7.0,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
24,31.56.96.51,2019-01-22T03:56:20.000Z,GET,/image/60847/productModel/200x200,200,5.53,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
25,178.253.33.51,2019-01-22T03:56:21.000Z,GET,/image/32574namepr465atjpgwhmax,200,28.15,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
26,5.78.198.52,2019-01-22T03:56:21.000Z,GET,/m/product/33978/64784/DAAFD988D8B4DB8CD985D988D8A8D8A7DB8CD984D8B3D8A7D985D8B3D988D986DAAFD985D8AFD984GalaxyA928201829Dual128GB28SMA92029,200,21.42,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
27,178.253.33.51,2019-01-22T03:56:21.000Z,GET,/image/32574namepr465at3jpgwhmax,200,23.44,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
28,207.46.13.136,2019-01-22T03:56:21.000Z,GET,/product/30649model60398,200,40.23,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
29,91.99.72.15,2019-01-22T03:56:21.000Z,GET,/product/7793/9663/D985D8A7DB8CDAA9D8B1D988D981D8B1D8B1D988D985DB8CD8B2DB8CD8B3D8A7D985D8B3D988D986DAAFD985D8AFD984ME201,200,39.93,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
30,5.78.198.52,2019-01-22T03:56:22.000Z,GET,/settings/logo,200,4.02,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
31,66.249.66.194,2019-01-22T03:56:22.000Z,GET,/m/browse/gasheater/D8A8D8AED8A7D8B1DB8CDAAFD8A7D8B2DB8C,200,18.71,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
32,66.249.66.194,2019-01-22T03:56:22.000Z,GET,/m/article/608/D8B9D984D8AAD8B5D8AFD8A7D8AFD8A7D8AFD986DAAFD8B1D8AFD986D988D8AFD8B1D985D8A7D986D8A2D986,200,20.3,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
33,34.247.132.53,2019-01-22T03:56:22.000Z,GET,/,200,28.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",N
34,54.36.149.70,2019-01-22T03:56:22.000Z,GET,/filter/b215b400p5686v1D8B3D981DB8CD8AF20D8A8D986D981D8B4,200,29.95,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
35,2.177.12.140,2019-01-22T03:56:22.000Z,GET,/image/61821/productModel/150x150,200,5.87,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
36,2.177.12.140,2019-01-22T03:56:22.000Z,GET,/image/64500/productModel/150x150,200,4.78,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
37,2.177.12.140,2019-01-22T03:56:22.000Z,GET,/image/64643/productModel/150x150,200,5.18,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
38,178.253.33.51,2019-01-22T03:56:23.000Z,GET,/image/32574namepr465at1jpgwhmax,200,45.97,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
39,66.249.66.194,2019-01-22T03:56:23.000Z,GET,/product/81900,404,31.52,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
40,2.177.12.140,2019-01-22T03:56:23.000Z,GET,/image/32703/productType/120x90,200,12.99,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
41,2.177.12.140,2019-01-22T03:56:23.000Z,GET,/image/66/productType/120x90,200,10.59,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
42,178.253.33.51,2019-01-22T03:56:24.000Z,GET,/image/32574namepr465at2jpgwhmax,200,45.71,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
43,2.177.12.140,2019-01-22T03:56:24.000Z,GET,/static/images/amp/blogpng,200,3.77,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
44,2.177.12.140,2019-01-22T03:56:24.000Z,GET,/static/images/amp/instagrampng,200,6.98,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
45,2.177.12.140,2019-01-22T03:56:24.000Z,GET,/static/images/amp/telegrampng,200,4.75,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
46,66.249.66.91,2019-01-22T03:56:24.000Z,GET,/image/63014/productModel/100x100,200,2.51,Googlebot-Image/1.0,N
47,2.177.12.140,2019-01-22T03:56:25.000Z,GET,/static/images/amp/thirdparty/footermobilepng,200,61.42,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
48,2.177.12.140,2019-01-22T03:56:25.000Z,GET,/image/33618/productType/120x90,200,10.44,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
49,2.177.12.140,2019-01-22T03:56:25.000Z,GET,/image/64272/productModel/150x150,200,3.68,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
50,2.177.12.140,2019-01-22T03:56:26.000Z,GET,/image/64648/productModel/150x150,200,5.89,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
51,5.78.198.52,2019-01-22T03:56:26.000Z,POST,/m/updateVariation__amp_source_originhttps3A2F2Fwwwzanbilir,200,0.17,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
52,2.177.12.140,2019-01-22T03:56:26.000Z,GET,/image/33419/productType/120x90,200,5.22,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
